Number of Principle Components,OA,AA,Kappa
1,0.2220,0.1948,0.178
2,0.5074,0.4442,0.4787
3,0.4682,0.4035,0.4373
4,0.4742,0.4074,0.4434
5,0.4963,0.4337,0.4679
6,0.5151,0.4631,0.4867
7,0.4874,0.4221,0.4567
8,0.5247,0.4762,0.4963
9,0.5066,0.4364,0.4775
10,0.4998,0.4406,0.47
11,0.5213,0.4738,0.4922
12,0.4920,0.4160,0.4613
13,0.5106,0.4644,0.4808
14,0.5075,0.4491,0.4787
15,0.4832,0.4447,0.4521
16,0.4644,0.4179,0.4325
17,0.4870,0.4078,0.4555
18,0.5280,0.4765,0.4995
19,0.4613,0.4133,0.4289
20,0.5062,0.4596,0.4766
21,0.4977,0.4249,0.4673
22,0.4464,0.4118,0.4133
23,0.4508,0.3832,0.417
24,0.4671,0.3871,0.4349
25,0.4667,0.4233,0.4347
26,0.4952,0.4165,0.4645
27,0.5090,0.4213,0.479
28,0.4803,0.4002,0.4484
29,0.4845,0.4302,0.4534
30,0.5453,0.4766,0.5175
31,0.4902,0.4426,0.4595
32,0.4686,0.4165,0.4361
33,0.5141,0.4409,0.4844
34,0.4570,0.4093,0.424
35,0.4331,0.3615,0.398
36,0.5286,0.4745,0.5004
37,0.4799,0.4006,0.4481
38,0.4639,0.4193,0.4313
39,0.4714,0.3925,0.4393
40,0.4807,0.4360,0.4491
41,0.4388,0.3981,0.4048
42,0.4451,0.3932,0.411
43,0.4829,0.4304,0.451
44,0.4482,0.4096,0.4147
45,0.4671,0.4166,0.4352
46,0.5018,0.4298,0.4714
47,0.4807,0.4331,0.4493
48,0.5611,0.5144,0.5352
